,Content,Location,Username,Retweet-Count,Favorites,Created at
49,Excited to dig into this book with the #Feathership core leadership group. #gratitude #antiracist #corevaluesinaction #DistanceLearning #leadership #BetterTogether #BeTheChange #development #read #learning #AcademicTwitter https://t.co/Kt5RRe1kNx,"California, USA",leap2live,1,3,2020-08-02 00:38:03
50,Shoutout to @frank_avella and @jrsowash for their comprehensive resources that helped with my recert. Teachers looking to up their game in #distancelearning should definitely look them up! https://t.co/e40bwxDfIv,"San Gabriel, CA",mslam79491065,1,0,2020-08-02 00:29:33
51,"Need to know how to create a virtual Bitmoji classroom? I got you! https://t.co/LP35p6A5kN

#distancelearning #educators #TeacherSquad #technology  #BitmojiClassroom #howto #virtualclassroom #funtechnologytools #GoogleEdu",,rodgracegift,1,1,2020-08-02 00:27:56
52,"Whether school is virtual or in-person, remember to get labels for supplies. These work great on binders, folders, and pencil boxes. It's so important to have all supplies marked this year so everyone knows whose is whose!
#backtoschool #schoolsupplies #distancelearning #supplies https://t.co/7QY0pwZ7nn",,afeworiginals,1,0,2020-08-02 00:27:16
53,ENTER FOR A CHANCE TO WIN #STEMeducation kits - classroom learning for home. Make #distancelearning a breeze with BrickLAB STEAMventures! #Giveaway Happening NOW! Click to Enter: https://t.co/TuscY1vGyL https://t.co/E6AQH2mZmq,"Boise, ID",PCSEdventures,0,1,2020-08-02 00:16:02
54,"“Instructional Considerations for the 2020-21 School Year”

#BlendedLearning #RemoteLearning #Distancelearning #hybridlearning #TeachingOnline #elearning #RemoteTeaching #DigitalLearning #teachertwitter #edutwitter #teachertips #TeachHub #TeachFromHome https://t.co/ojx89J0gF0","Illinois, USA",Erik_Youngman,0,2,2020-08-02 00:10:26
55,25 Remote #TeachingTips To Engage #Students In #DistanceLearning https://t.co/AL3VwACk4A via @TeachThought #teachertips #remotelearning,"Newton, MA",Eduporium,0,1,2020-08-02 00:10:02
56,"Show your commitment to engaging all students in their learning, no matter where they are. 🏠 💻 💙 

✨ Earn your Nearpod #DistanceLearning Badge 🎖️ by completing our self-paced course: https://t.co/CnyyiTf8xj https://t.co/HMve8pMhTa",,MattfromNearpod,0,1,2020-08-02 00:08:09
57,"Show your commitment to engaging all students in their learning, no matter where they are. 🏠 💻 💙 

✨ Earn your Nearpod #DistanceLearning Badge 🎖️ by completing our self-paced course: https://t.co/1VGccH1VKN https://t.co/vGi4JmmJnC",,nearpod,7,20,2020-08-02 00:05:04
58,"Building relationships online is new for everyone. It’s great to see how quickly people can adapt to new things. Join @educationweek below to hear how others have been coping below. 

https://t.co/kMHVUGBs4Z

#EdChatEU #EdTech #DistanceLearning",,AquilaEducation,0,0,2020-08-02 00:00:13
59,"I love the fact that Nearpod now has a Flipgrid integration, no more separate assignments during #distancelearning or #BlendedLearning #Nearpod",Florida,mjonesDKG,0,3,2020-08-02 00:00:03
60,#HybridTeacherPD is happening tomorrow8/2 at 6:30 PM CST The topic this week is asynchronous learning! #HybridTeacher #BetterTogether #GlobalGEG #edutwitter #edchat #distancelearning @emmabpass #learning https://t.co/KdFO1rGyl5,"St Charles, MO",StephensSTEM,3,5,2020-08-02 00:00:00
