,Content,Location,Username,Retweet-Count,Favorites,Created at
44,Former NSL star Vaughan Coveny on the success of online football education and training https://t.co/2aCpjzlh15 #Football #Soccer #SportsBiz,"Melbourne, Victoria",Soccersceneau,3,4,2020-08-13 22:51:03
45,I just read through this book by Aaron Johnson of @denverseminary about teaching on zoom. Wow! It is #1 on https://t.co/Z5ooyz6faG for college and university education for a good reason: Online Teaching with Zoom: A Guide for Teaching and Learning https://t.co/m5WWf3tUOu,"Melbourne, Australia",mbird12,0,16,2020-08-13 22:50:54
46,"Love this.
But the 21st needs also a reset of how educators. 
How does education change when kids can access more information online than in  books and in teachers heads?
Instructors shouldn't teach subjects, but how to understand them when researching online https://t.co/9kPeZ8XFVc",London,stefano_studio,0,0,2020-08-13 22:49:20
47,"@wef Love this.
But the 21st needs also a reset of how educators. 
How does education change when kids can access more information online than in  books and in teachers heads?
Instructors shouldn't teach subjects, but how to understand them when researching online",London,stefano_studio,0,0,2020-08-13 22:48:33
48,"its so sad because when i took health online all it mainly spoke about was abstinence, we need BETTER sex education in schools, + only ~9 states teach consent. that’s absolute BS. https://t.co/Pf2XS1RurE",☁️9,axdriix,0,2,2020-08-13 22:48:28
49,@GovMikeDeWine If you really cared about minority health you would call out school districts in urban areas that are going online because those kids are not getting an education sitting at home.  What about districts like Toledo that have no fall sports or activities for kids to do.,Behind Enemy Lines,RFotz,0,5,2020-08-13 22:48:04
50,@deestiv I do. sex education reform is very important. I also help show women where to get contraception and how accessible contraception is. There’s a lot of great reliable online resources,ohio,madisonn__1,0,0,2020-08-13 22:46:27
51,"Our tertiary product manager, Bryn Jeffries, is at the #ICER2020 CS education conference this week. Fortunately it’s all online so he can attend in his pyjamas. Say hi to him there if you’re going too. https://t.co/0xSUaShcOj","Sydney, Australia",groklearning,0,0,2020-08-13 22:46:21
52,Professors reflect on what approaches need to be taken in online learning to provide the best #education for students. @YaleDivSchool #IF20Education https://t.co/05SLDgxuV5,"Riyadh, Saudi Arabia",IF20org,0,0,2020-08-13 22:46:00
53,"CERTIFY ONLINE TODAY!   Brownsville, TX ServSafe® Manager Online Courses &amp; Certification Exam https://t.co/fRuqsEWiDb https://t.co/2ZtMDt0aXd","33.516578,-86.801595",chefdbpeters,0,0,2020-08-13 22:45:30
54,"Sat 29 Aug - For our new Master of Education and Professional course students: an online Q&amp;A session hosted by @YvetteSlaughte1 &amp; @lisa_mckaybrown. 

Join to share the experinces of your first semester with your cohort.

More info &amp; to register &gt; https://t.co/yt3eSiHmdq https://t.co/6yv54ZdIT0",,EduMelb,0,0,2020-08-13 22:45:00
55,"@levikornelsen It's interesting. The people I see using it so far are those that have had problems with online harassment, so I can't fault it, but I am here for one reason really, engaging in self education through conversation on game design, so I also get what you mean.",Lake Country,Mugulord,0,2,2020-08-13 22:41:25
56,Bachelors of Science in Engineering Physics https://t.co/W4wUyGzqMP #online #classes #online #school #online #education,TheWeb!,BachDegreesCom,0,0,2020-08-13 22:41:10
57,"Prior to the shutdown, the New York City Department of Education’s Division of Early Childhood Education had been developing a long-term plan to build a system for online PL. Suddenly their six-month plan became a six-week rollout. https://t.co/ye1ETY1AJR #EarlyEd #OnlineLearning https://t.co/2xeUbShFHu","Dallas, TX",LearningForward,0,0,2020-08-13 22:40:03
58,@warriorprotocol @lemonyzest757 @KristyPritchar1 @davidmweissman It's essential for online education (and for allowing remote learning during the current pandemic). It's a ubiquitous thing that has become an indispensable part of modern life.,,stormstalker01,0,2,2020-08-13 22:38:41
59,Apart.. but Still Together. Online Education is hard but we are still together (Collab with PencilandPost on Instagram). #studying #learningonline #onlineeducation #zoom #zoomclassroom #onlineclasses #academictwitter https://t.co/FXM38NlfDW,,in_doodles,0,0,2020-08-13 22:38:31
60,"@david_perell I’ve switched universities twice. Very grateful, but I’m telling you there’s no better education than online courses.

The fact that you can you can learn on your own terms - it’s everything.","London, England",mkkutrowski,0,0,2020-08-13 22:38:11
61,"Great remote learning advice for educators from the folks at 
@EXPLOElevate, one of my favorite voices in education. https://t.co/WDUVYdsUKb",Northern VA,teacherladya,0,0,2020-08-13 22:38:01
62,"Our name may have changed, but what we do remains the same! Hop online with us this Sunday to hang out + share your thoughts on this month's topic ✨📚 MOGRAPH EDUCATION 📚✨
📋➡️ https://t.co/mj25PjTxDc https://t.co/k1P4kslwOr","Los Angeles, CA",ladiesinmograph,3,1,2020-08-13 22:37:17
63,@JakeArmistead @PeoplesMomentum 3/2 Now you want to abolish schools that provide the highest education quality in the country and continue to let out education standard to be watered down until our A-Level results have the same value as the results of online IQ tests?,,yuan_joshua,0,0,2020-08-13 22:37:14
64,While I’m still full of hope I’d like to share that I am so excited about all three classes I’m taking this semester and thankful for @NCSUHigherEd faculty who are making this online education thing thrive.,,jessielyneeeeee,0,7,2020-08-13 22:36:47
65,"For those getting ready for virtual school, check out these 5 important #tips for #onlineschool success 
👉https://t.co/8wOsqiW8Qn 🖋️","Ohio, USA",CrimsnMacchiato,0,0,2020-08-13 22:36:36
66,"I quit MSP or “take a break” every school year to ‘fOcuS’ (which I have not been doing) on my education. I haven’t decided if I’ll do it this year, but I definitely have been slowing down on going online.",i am the love of my life,playboyling,0,1,2020-08-13 22:36:26
67,"Well, my education was sufficient that it enabled me to correctly use ""its"" instead of ""it's"" when trying to sledge people online. https://t.co/IQUdZwFkJF","Sydney, Australia",GrayConnolly,6,54,2020-08-13 22:35:28
68,@28SOTT Kinda need an education tho🙈🙈 my classes are online I’m scared,,insomniaspaces,0,0,2020-08-13 22:35:13
69,It’s crazy because if they made everyone sit exams people would protest the quality of online education isn’t comparable and that people who benefit from classrooms are suffering.,London,lsxc_,0,0,2020-08-13 22:33:46
70,"Auditors question Department of Education's ability to evaluate, monitor online learning https://t.co/npXl2QuVBf","Lansing, MI",LSJNews,0,0,2020-08-13 22:33:04
71,"@DandC RCSD reports that the poorest students in the district will have no education for the next 10 weeks.  Parents who are trying to earn a living and eat are told.. ""well we don't really think that it's a problem and all kids are just fine online"".",,myobfool,0,0,2020-08-13 22:32:31
72,Power surge in the middle of a project. I was plugged into the wall. Luckily no damage to my system. Just lost project online. #education,Ireland,hpchick7,0,0,2020-08-13 22:31:18
