,Content,Location,Username,Retweet-Count,Favorites,Created at
39,Looking for a new way to make learning history fun in this time of #distancelearning? Help your students produce the next Broadway musical all while learning U.S. history in @FVStudioBoston’s newest game Civics! An American Musical: https://t.co/O9Ixz3dyKP #FVGames,"Boston, MA",stid42,0,2,2020-08-13 17:21:59
40,Big review of https://t.co/2H6hDx2dAH coming tomorrow!  Super excited!  #education #distancelearning #eLearning #Teachers,,mylearnie,0,0,2020-08-13 17:20:58
41,Ok working parents with school age kiddos - we got this. #backtoschool #distancelearning #remoteworking https://t.co/sPLKMuqAVK,"Los Angeles, CA",KatieSavant,0,0,2020-08-13 17:20:32
42,"🎵 The next #WeekInRap comes out TOMORROW! 🔥 🎤 

🎉 Are you ready to jam out with your students every #FlocabFriday!?

📻  Retweet if you'll be tuning in to the Week in Rap! 🎵

🎧 https://t.co/kDuinkjvXU
🎧 https://t.co/OUxwsgDEEm 

#DistanceLearning #RemoteLearning #HipHopEd https://t.co/uELPQKAfkq","Brooklyn, NY",Flocabulary,0,0,2020-08-13 17:19:06
43,"#DistanceLearning The home “workspace” for students-may be as important a choice for actual learning as choosing whether to take part in it. 
Anyone know a family setting up a corner of their house that’ll be committed to learning?  Want to feature it @SPECNewsROC. Reach me here. https://t.co/1BRo8Ykcdo","Fairport, NY",JimAroune,0,0,2020-08-13 17:17:04
44,If I make anymore Giant Life Decisions this year I'm going to have a breakdown. Homeschooling bound...any other CT geek families need a friend? #homeschooling #distancelearning,,shamrocknspace,0,0,2020-08-13 17:16:49
45,"First day of school 💻🎒
#BeGreatIE #firstdayofschool #distancelearning #BackToSchool https://t.co/Z1xy88FLuE","Redlands, Ca",BeGreatIE,0,0,2020-08-13 17:15:36
46,"Still twiddling our thumbs here in NYC wondering what school will look like in Sept, but either way if you could spare some #kindnesssprinkles for students with #autism, #distancelearning might be more fun and engaging! #edutwitter #BetterTogether #TpT https://t.co/jeWyGpIc4V https://t.co/TdjdjcIKiG","Queens, NY",jill_grubz,1,1,2020-08-13 17:15:12
47,How can you use Open Educational Resources #OER to personalize lessons? #remotelearning https://t.co/RxDdA2DYh2 #distancelearning,USA,LearningAccel,1,1,2020-08-13 17:15:09
48,@KidsCountryUK @GsBrand Working on Potatoes🥔 today - The combination of the gel recipe &amp; the warm weather means we have shoots🌱&amp; roots already 😀@AHDB_Potatoes @Albert_Bartlett #FFBScience #STEM #ScienceFromHome #distancelearning #Homeschooling2020 https://t.co/5g4rBLPW9s,"York, England",plantletculture,0,0,2020-08-13 17:14:23
49,Earning my #distancelearning badge from @nearpod so one thing I learned is this aligns with #GoogleClassroom,Southern California ,ms_jacobs22,0,1,2020-08-13 17:13:56
50,For real need ideas for virtual first day/week! #teachertwitter #teachers #teachershelpingteachers  #STUDENTSFUTUREMATTER #education #virtuallearning #distancelearning #blendedlearning,"Texas, USA",CShell909,0,0,2020-08-13 17:13:06
51,"What does #BackToSchoolCA mean for children and youth in foster care? 

Important conversation about the impact of #distancelearning in California. Thanks @CalMatters for hosting this discussion today. https://t.co/nOGjcvk2W3",California,clccal,1,3,2020-08-13 17:13:03
52,"why are we even considering in person education

#remotelearning #COVID19 #distancelearning

CDC warns US faces 'worst fall' ever if Americans ignore COVID-19 guidelines https://t.co/gTrjRfp4Si via @nypost",,cjaADVENTURES,0,0,2020-08-13 17:12:36
53,Using @padlet this morning to talk about one of our favorite stories with a theme of #friendship. We’re slowly getting the hang of #distancelearning. @ButtonwillowUSD https://t.co/e4rt0sDJxM,"Buttonwillow, CA",Missturm,0,0,2020-08-13 17:12:10
54,@NgP1_tech @LindseyBlass1 @HansTullmann @MsClaraGalan @teamaringo @frostd13 @Maynardsixth @TanyaAvrith @christypnovack @mllevalsunshine @BookCreatorApp =  many interdisciplinary options - benefit of paid = collab books + larger library @activelylearn also! collab close reading/ all areas. paid = more options + data #distancelearning hmm... what else?,,JillBromen,0,1,2020-08-13 17:11:58
55,Also coming up on @WPLGLocal10 at 5:30pm - we will explore this #internetsafety Miami-Dade County School Board agenda item sponsored by Dr. Martin Karp. 👇 #distancelearning #virtualschool https://t.co/TTAlof94Zl https://t.co/ALmUWH1taX,"Miami, FL",CBoomerVazquez,2,0,2020-08-13 17:10:49
56,"Our 📚 Back to School Sale ends tomorrow!! 🍎

Sign-up for our ""How to Teach Remotely: Intermediate Level""course! 

20% Off All Our Courses!

Promo Code: BACKTOSCHOOL

Code Expires 08.14.20!

👉https://t.co/5diPoZL3OS

#iteach #remotelearning #distancelearning https://t.co/FwzfyaRmKe","New York, NY",teachercode_llc,0,0,2020-08-13 17:09:48
57,"From equity sticks to mindful brain breaks, here are some strategies to help keep young students engaged during online learning.

#distancelearning @edutopia https://t.co/2Y7KXtxplG",Georgia,GPBEducation,0,1,2020-08-13 17:07:23
58,btw i don't care if you want to do #distancelearning My issue is they don't have the infrastructure for it clearly,California,Sarcastic_hubby,0,1,2020-08-13 17:07:12
59,@Schoology I hope to have a productive relationship this school year but we’re starting off on the wrong foot when I’m unable to access my account. Please help. #schoology #distancelearning #help,"Los Angeles, CA",Tamipowersajr,0,0,2020-08-13 17:06:38
60,We’re here getting ready for the students!!! #thedreamteam #distancelearning #wearevictoria https://t.co/W9GhnvMwKJ,"Costa Mesa, CA",vicscholars1,2,5,2020-08-13 17:05:06
61,"Check out our newest selection of City, Sport and Accessory Bags! https://t.co/VIeNhrom2T #Travel #Sport #Bags #Duffel #DuffelBags #ToteBags #BackPacks #SportBags #Teams #ComputerBags #School #DistanceLearning #LaptTopBags #Messenger #Education #FirstResponders #Kids #College #NM https://t.co/qOEc5nlPqa","Portland, Oregon",askHMS,0,0,2020-08-13 17:05:04
62,Thanks @Ignitenursinged #NursingStudents #onlinelearning #distancelearning #Nurses #Nursing #PublicHealth https://t.co/jFsDUythUm,New York City ,THigginsRN,0,1,2020-08-13 17:04:28
63,🚨 for #parents #pandemicpod #childcare providers + #learningpod #tutors. The FBI warns more kids #online in our #pandemic-era #distancelearning world increases risk of #online child exploitation. FBI safety recommendations: 👇 More on @WPLGLocal10 at 5:30pm https://t.co/QyUBxEKl8P https://t.co/Fj4UQGOcLO,"Miami, FL",CBoomerVazquez,1,0,2020-08-13 17:04:24
64,"Students in an online class describe four elements that made it a highly positive experience (opinion) 

#DistanceLearning #HigherEducation #COVID19
https://t.co/oIcs5InGpk",United States,Ignitenursinged,0,2,2020-08-13 17:02:51
65,"Check out this #COVID19 flyer outlines several ways to help keep children safe during the #pandemic:

https://t.co/2UAJrs0se9

#EdChat #Educhat #HealthyLife #DistanceLearning #Healthcare @AFTunion @AFTteach @CEHN @cr_prax https://t.co/a1siEg7bhv","Washington, DC",sharemylesson,0,1,2020-08-13 17:01:02
66,"Top 4 needs in Distance Learning... 

Join the discussion in our Forum today at 3pm EST.  

Meeting room --
https://t.co/yqRHik7ysb

@MIND_Research #edchat #distancelearning https://t.co/lkK5f3CIcE",,PrincipalCoffey,0,0,2020-08-13 17:00:55
67,Involved in online courses &amp; training programs? @ClearOne Collaborate Space live interactive #distancelearning #classroom software effectively delivers courses to your audience. Ask us at @DataVisual how we can help. https://t.co/knHmilug0r https://t.co/Vzx0b6yhUR,"Ottawa, Canada",datavisualinc,0,0,2020-08-13 16:58:25
